source,tissue,dataset,cell_type,manual_broadtype,method,agreement,broadtype
Azimuth,PBMC,Azimuth_PBMC,Regulatory T,t/nk cell,GPT-4,1,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,Regulatory T,t/nk cell,GPT-4-mar2023,1,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,Regulatory T,t/nk cell,GPT-3.5,1,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,Regulatory T,t/nk cell,CellMarker2.0,0.5,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,CD8+ Naive T,t/nk cell,GPT-4,0.5,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,CD8+ Naive T,t/nk cell,GPT-4-mar2023,1,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,CD8+ Naive T,t/nk cell,GPT-3.5,0.5,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,CD8+ Naive T,t/nk cell,CellMarker2.0,0.5,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,CD8+ Proliferating T,t/nk cell,GPT-4,0.5,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,CD8+ Proliferating T,t/nk cell,GPT-4-mar2023,0.5,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,CD8+ Proliferating T,t/nk cell,GPT-3.5,0,
Azimuth,PBMC,Azimuth_PBMC,CD8+ Proliferating T,t/nk cell,CellMarker2.0,0,
Azimuth,PBMC,Azimuth_PBMC,CD8+ Central Memory T,t/nk cell,GPT-4,0.5,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,CD8+ Central Memory T,t/nk cell,GPT-4-mar2023,1,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,CD8+ Central Memory T,t/nk cell,GPT-3.5,0.5,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,CD8+ Central Memory T,t/nk cell,CellMarker2.0,0.5,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,CD8+ Effector Memory T,t/nk cell,GPT-4,0.5,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,CD8+ Effector Memory T,t/nk cell,GPT-4-mar2023,1,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,CD8+ Effector Memory T,t/nk cell,GPT-3.5,0.5,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,CD8+ Effector Memory T,t/nk cell,CellMarker2.0,1,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,AXL+ Dendritic Cell,dendritic cell,GPT-4,0.5,dendritic cell
Azimuth,PBMC,Azimuth_PBMC,AXL+ Dendritic Cell,dendritic cell,GPT-4-mar2023,0.5,dendritic cell
Azimuth,PBMC,Azimuth_PBMC,AXL+ Dendritic Cell,dendritic cell,GPT-3.5,0,myeloid cell
Azimuth,PBMC,Azimuth_PBMC,AXL+ Dendritic Cell,dendritic cell,CellMarker2.0,0.5,dendritic cell
Azimuth,PBMC,Azimuth_PBMC,Conventional Dendritic Cell 1,dendritic cell,GPT-4,1,dendritic cell
Azimuth,PBMC,Azimuth_PBMC,Conventional Dendritic Cell 1,dendritic cell,GPT-4-mar2023,1,dendritic cell
Azimuth,PBMC,Azimuth_PBMC,Conventional Dendritic Cell 1,dendritic cell,GPT-3.5,0.5,dendritic cell
Azimuth,PBMC,Azimuth_PBMC,Conventional Dendritic Cell 1,dendritic cell,CellMarker2.0,0,
Azimuth,PBMC,Azimuth_PBMC,Conventional Dendritic Cell 2,dendritic cell,GPT-4,0.5,dendritic cell
Azimuth,PBMC,Azimuth_PBMC,Conventional Dendritic Cell 2,dendritic cell,GPT-4-mar2023,1,dendritic cell
Azimuth,PBMC,Azimuth_PBMC,Conventional Dendritic Cell 2,dendritic cell,GPT-3.5,0.5,dendritic cell
Azimuth,PBMC,Azimuth_PBMC,Conventional Dendritic Cell 2,dendritic cell,CellMarker2.0,0.5,dendritic cell
Azimuth,PBMC,Azimuth_PBMC,Plasmacytoid Dendritic Cell,dendritic cell,GPT-4,0.5,b cell
Azimuth,PBMC,Azimuth_PBMC,Plasmacytoid Dendritic Cell,dendritic cell,GPT-4-mar2023,0.5,b cell
Azimuth,PBMC,Azimuth_PBMC,Plasmacytoid Dendritic Cell,dendritic cell,GPT-3.5,0,myeloid cell
Azimuth,PBMC,Azimuth_PBMC,Plasmacytoid Dendritic Cell,dendritic cell,CellMarker2.0,0.5,b cell
Azimuth,PBMC,Azimuth_PBMC,CD14+ Monocyte,macrophage/monocyte,GPT-4,0.5,macrophage/monocyte
Azimuth,PBMC,Azimuth_PBMC,CD14+ Monocyte,macrophage/monocyte,GPT-4-mar2023,0.5,macrophage/monocyte
Azimuth,PBMC,Azimuth_PBMC,CD14+ Monocyte,macrophage/monocyte,GPT-3.5,0.5,macrophage/monocyte
Azimuth,PBMC,Azimuth_PBMC,CD14+ Monocyte,macrophage/monocyte,CellMarker2.0,1,macrophage/monocyte
Azimuth,PBMC,Azimuth_PBMC,CD16+ Monocyte,macrophage/monocyte,GPT-4,0.5,"t/nk cell,macrophage/monocyte"
Azimuth,PBMC,Azimuth_PBMC,CD16+ Monocyte,macrophage/monocyte,GPT-4-mar2023,0.5,macrophage/monocyte
Azimuth,PBMC,Azimuth_PBMC,CD16+ Monocyte,macrophage/monocyte,GPT-3.5,0.5,macrophage/monocyte
Azimuth,PBMC,Azimuth_PBMC,CD16+ Monocyte,macrophage/monocyte,CellMarker2.0,0.5,macrophage/monocyte
Azimuth,PBMC,Azimuth_PBMC,CD56-dim Natural Killer,t/nk cell,GPT-4,0.5,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,CD56-dim Natural Killer,t/nk cell,GPT-4-mar2023,0.5,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,CD56-dim Natural Killer,t/nk cell,GPT-3.5,0.5,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,CD56-dim Natural Killer,t/nk cell,CellMarker2.0,0.5,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,Proliferating Natural Killer,t/nk cell,GPT-4,0.5,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,Proliferating Natural Killer,t/nk cell,GPT-4-mar2023,0.5,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,Proliferating Natural Killer,t/nk cell,GPT-3.5,0.5,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,Proliferating Natural Killer,t/nk cell,CellMarker2.0,0,
Azimuth,PBMC,Azimuth_PBMC,CD56-bright Natural Killer,t/nk cell,GPT-4,0.5,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,CD56-bright Natural Killer,t/nk cell,GPT-4-mar2023,0.5,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,CD56-bright Natural Killer,t/nk cell,GPT-3.5,0.5,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,CD56-bright Natural Killer,t/nk cell,CellMarker2.0,0.5,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,Erythroid cell,erythroid cell,GPT-4,0.5,erythroid cell
Azimuth,PBMC,Azimuth_PBMC,Erythroid cell,erythroid cell,GPT-4-mar2023,0.5,erythroid cell
Azimuth,PBMC,Azimuth_PBMC,Erythroid cell,erythroid cell,GPT-3.5,0.5,erythroid cell
Azimuth,PBMC,Azimuth_PBMC,Erythroid cell,erythroid cell,CellMarker2.0,0.5,erythroid cell
Azimuth,PBMC,Azimuth_PBMC,Hematopoietic stem and progenitor cell,stem cell,GPT-4,1,stem cell
Azimuth,PBMC,Azimuth_PBMC,Hematopoietic stem and progenitor cell,stem cell,GPT-4-mar2023,1,stem cell
Azimuth,PBMC,Azimuth_PBMC,Hematopoietic stem and progenitor cell,stem cell,GPT-3.5,0,progenitor cell
Azimuth,PBMC,Azimuth_PBMC,Hematopoietic stem and progenitor cell,stem cell,CellMarker2.0,0,progenitor cell
Azimuth,PBMC,Azimuth_PBMC,Innate Lymphoid Cell,innate lymphoid cell,GPT-4,0.5,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,Innate Lymphoid Cell,innate lymphoid cell,GPT-4-mar2023,0.5,granulocyte
Azimuth,PBMC,Azimuth_PBMC,Innate Lymphoid Cell,innate lymphoid cell,GPT-3.5,0,progenitor cell
Azimuth,PBMC,Azimuth_PBMC,Innate Lymphoid Cell,innate lymphoid cell,CellMarker2.0,0,stem cell
Azimuth,PBMC,Azimuth_PBMC,Platelet,platelet,GPT-4,1,platelet
Azimuth,PBMC,Azimuth_PBMC,Platelet,platelet,GPT-4-mar2023,1,platelet
Azimuth,PBMC,Azimuth_PBMC,Platelet,platelet,GPT-3.5,1,platelet
Azimuth,PBMC,Azimuth_PBMC,Platelet,platelet,CellMarker2.0,1,platelet
Azimuth,PBMC,Azimuth_PBMC,Double-negative T,t/nk cell,GPT-4,0.5,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,Double-negative T,t/nk cell,GPT-4-mar2023,0.5,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,Double-negative T,t/nk cell,GPT-3.5,0,myeloid cell
Azimuth,PBMC,Azimuth_PBMC,Double-negative T,t/nk cell,CellMarker2.0,0.5,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,gamma-delta T,t/nk cell,GPT-4,1,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,gamma-delta T,t/nk cell,GPT-4-mar2023,0.5,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,gamma-delta T,t/nk cell,GPT-3.5,0.5,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,gamma-delta T,t/nk cell,CellMarker2.0,1,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,Mucosal associated invariant T,t/nk cell,GPT-4,0.5,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,Mucosal associated invariant T,t/nk cell,GPT-4-mar2023,0.5,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,Mucosal associated invariant T,t/nk cell,GPT-3.5,0.5,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,Mucosal associated invariant T,t/nk cell,CellMarker2.0,0.5,t/nk cell
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,Astrocyte,astrocyte,GPT-4,1,astrocyte
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,Astrocyte,astrocyte,GPT-4-mar2023,1,astrocyte
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,Astrocyte,astrocyte,GPT-3.5,1,astrocyte
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,Astrocyte,astrocyte,CellMarker2.0,0,
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,Endothelial cell,endothelial cell,GPT-4,1,endothelial cell
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,Endothelial cell,endothelial cell,GPT-4-mar2023,1,endothelial cell
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,Endothelial cell,endothelial cell,GPT-3.5,1,endothelial cell
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,Endothelial cell,endothelial cell,CellMarker2.0,0,
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,"Layer 2-3 glutamatergic neuron, intratelencephalon-projecting",neuron,GPT-4,0.5,neuron
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,"Layer 2-3 glutamatergic neuron, intratelencephalon-projecting",neuron,GPT-4-mar2023,0.5,neuron
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,"Layer 2-3 glutamatergic neuron, intratelencephalon-projecting",neuron,GPT-3.5,0.5,neuron
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,"Layer 2-3 glutamatergic neuron, intratelencephalon-projecting",neuron,CellMarker2.0,0,
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,"Layer 5 glutamatergic neuron, extratelencephalon-projecting",neuron,GPT-4,0.5,neuron
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,"Layer 5 glutamatergic neuron, extratelencephalon-projecting",neuron,GPT-4-mar2023,0.5,neuron
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,"Layer 5 glutamatergic neuron, extratelencephalon-projecting",neuron,GPT-3.5,0.5,neuron
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,"Layer 5 glutamatergic neuron, extratelencephalon-projecting",neuron,CellMarker2.0,0,
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,"Layer 5 glutamatergic neuron, intratelencephalon-projecting",neuron,GPT-4,0.5,neuron
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,"Layer 5 glutamatergic neuron, intratelencephalon-projecting",neuron,GPT-4-mar2023,0.5,neuron
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,"Layer 5 glutamatergic neuron, intratelencephalon-projecting",neuron,GPT-3.5,0.5,neuron
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,"Layer 5 glutamatergic neuron, intratelencephalon-projecting",neuron,CellMarker2.0,0,
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,"Layer 5-6 glutamatergic neuron, near-projecting",neuron,GPT-4,0.5,neuron
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,"Layer 5-6 glutamatergic neuron, near-projecting",neuron,GPT-4-mar2023,0.5,neuron
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,"Layer 5-6 glutamatergic neuron, near-projecting",neuron,GPT-3.5,0.5,neuron
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,"Layer 5-6 glutamatergic neuron, near-projecting",neuron,CellMarker2.0,0,
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,"Layer 6 glutamatergic neuron, corticothalamic-projecting",neuron,GPT-4,0.5,neuron
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,"Layer 6 glutamatergic neuron, corticothalamic-projecting",neuron,GPT-4-mar2023,0.5,neuron
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,"Layer 6 glutamatergic neuron, corticothalamic-projecting",neuron,GPT-3.5,0.5,neuron
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,"Layer 6 glutamatergic neuron, corticothalamic-projecting",neuron,CellMarker2.0,0,brain cell
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,"Layer 6 glutamatergic neuron, intratelencephalon-projecting",neuron,GPT-4,0.5,neuron
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,"Layer 6 glutamatergic neuron, intratelencephalon-projecting",neuron,GPT-4-mar2023,0.5,neuron
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,"Layer 6 glutamatergic neuron, intratelencephalon-projecting",neuron,GPT-3.5,0.5,neuron
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,"Layer 6 glutamatergic neuron, intratelencephalon-projecting",neuron,CellMarker2.0,0,
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,"Layer 6 Car3+ glutamatergic neuron, intratelencephalon-projecting",neuron,GPT-4,0.5,"neuron,astrocyte"
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,"Layer 6 Car3+ glutamatergic neuron, intratelencephalon-projecting",neuron,GPT-4-mar2023,0.5,neuron
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,"Layer 6 Car3+ glutamatergic neuron, intratelencephalon-projecting",neuron,GPT-3.5,0.5,neuron
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,"Layer 6 Car3+ glutamatergic neuron, intratelencephalon-projecting",neuron,CellMarker2.0,0,
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,Layer 6b glutamatergic neuron,neuron,GPT-4,0.5,neuron
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,Layer 6b glutamatergic neuron,neuron,GPT-4-mar2023,0.5,neuron
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,Layer 6b glutamatergic neuron,neuron,GPT-3.5,0.5,neuron
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,Layer 6b glutamatergic neuron,neuron,CellMarker2.0,0,
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,Lamp5+ GABAergic neuron,neuron,GPT-4,0.5,neuron
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,Lamp5+ GABAergic neuron,neuron,GPT-4-mar2023,0.5,neuron
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,Lamp5+ GABAergic neuron,neuron,GPT-3.5,0.5,neuron
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,Lamp5+ GABAergic neuron,neuron,CellMarker2.0,0,
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,microglia / perivascular macrophage,"microglia,macrophage/monocyte",GPT-4,0.5,microglia
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,microglia / perivascular macrophage,"microglia,macrophage/monocyte",GPT-4-mar2023,0.5,microglia
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,microglia / perivascular macrophage,"microglia,macrophage/monocyte",GPT-3.5,0.5,microglia
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,microglia / perivascular macrophage,"microglia,macrophage/monocyte",CellMarker2.0,0.5,microglia
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,oligodendrocyte,oligodendrocyte,GPT-4,1,oligodendrocyte
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,oligodendrocyte,oligodendrocyte,GPT-4-mar2023,1,oligodendrocyte
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,oligodendrocyte,oligodendrocyte,GPT-3.5,1,oligodendrocyte
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,oligodendrocyte,oligodendrocyte,CellMarker2.0,0,
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,oligodendrocyte precursor cell,progenitor cell,GPT-4,1,progenitor cell
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,oligodendrocyte precursor cell,progenitor cell,GPT-4-mar2023,1,progenitor cell
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,oligodendrocyte precursor cell,progenitor cell,GPT-3.5,1,progenitor cell
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,oligodendrocyte precursor cell,progenitor cell,CellMarker2.0,0,
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,Pvalb+ GABAergic neuron,neuron,GPT-4,0.5,neuron
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,Pvalb+ GABAergic neuron,neuron,GPT-4-mar2023,0.5,neuron
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,Pvalb+ GABAergic neuron,neuron,GPT-3.5,0.5,neuron
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,Pvalb+ GABAergic neuron,neuron,CellMarker2.0,0,
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,Sncg+ GABAergic neuron,neuron,GPT-4,0.5,neuron
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,Sncg+ GABAergic neuron,neuron,GPT-4-mar2023,0.5,neuron
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,Sncg+ GABAergic neuron,neuron,GPT-3.5,0.5,neuron
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,Sncg+ GABAergic neuron,neuron,CellMarker2.0,0,
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,Sst+ GABAergic neuron,neuron,GPT-4,0.5,neuron
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,Sst+ GABAergic neuron,neuron,GPT-4-mar2023,0.5,neuron
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,Sst+ GABAergic neuron,neuron,GPT-3.5,0.5,neuron
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,Sst+ GABAergic neuron,neuron,CellMarker2.0,0,
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,Sst+ Chodl+ GABAergic neuron,neuron,GPT-4,0.5,neuron
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,Sst+ Chodl+ GABAergic neuron,neuron,GPT-4-mar2023,0.5,neuron
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,Sst+ Chodl+ GABAergic neuron,neuron,GPT-3.5,0.5,neuron
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,Sst+ Chodl+ GABAergic neuron,neuron,CellMarker2.0,0,
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,Vip+ GABAergic neuron,neuron,GPT-4,0.5,neuron
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,Vip+ GABAergic neuron,neuron,GPT-4-mar2023,0.5,neuron
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,Vip+ GABAergic neuron,neuron,GPT-3.5,0.5,neuron
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,Vip+ GABAergic neuron,neuron,CellMarker2.0,0,
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,vascular lepotomeningeal cell,fibroblast,GPT-4,0,stem cell
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,vascular lepotomeningeal cell,fibroblast,GPT-4-mar2023,0,muscle cell
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,vascular lepotomeningeal cell,fibroblast,GPT-3.5,0,neuron
Azimuth,Motor Cortex,Azimuth_Motor_Cortex,vascular lepotomeningeal cell,fibroblast,CellMarker2.0,0,
Azimuth,Pancreas,Azimuth_Pancreas,immune,immune cell,GPT-4,0,macrophage/monocyte
Azimuth,Pancreas,Azimuth_Pancreas,immune,immune cell,GPT-4-mar2023,0.5,"macrophage/monocyte,antigen presenting cell"
Azimuth,Pancreas,Azimuth_Pancreas,immune,immune cell,GPT-3.5,0,macrophage/monocyte
Azimuth,Pancreas,Azimuth_Pancreas,immune,immune cell,CellMarker2.0,0,macrophage/monocyte
Azimuth,Pancreas,Azimuth_Pancreas,quiescent stellate,fibroblast,GPT-4,0.5,fat cell
Azimuth,Pancreas,Azimuth_Pancreas,quiescent stellate,fibroblast,GPT-4-mar2023,0.5,"pericyte,muscle cell"
Azimuth,Pancreas,Azimuth_Pancreas,quiescent stellate,fibroblast,GPT-3.5,0.5,fat cell
Azimuth,Pancreas,Azimuth_Pancreas,quiescent stellate,fibroblast,CellMarker2.0,0.5,pericyte
Azimuth,Pancreas,Azimuth_Pancreas,endothelial,endothelial cell,GPT-4,1,endothelial cell
Azimuth,Pancreas,Azimuth_Pancreas,endothelial,endothelial cell,GPT-4-mar2023,1,endothelial cell
Azimuth,Pancreas,Azimuth_Pancreas,endothelial,endothelial cell,GPT-3.5,1,endothelial cell
Azimuth,Pancreas,Azimuth_Pancreas,endothelial,endothelial cell,CellMarker2.0,1,endothelial cell
Azimuth,Pancreas,Azimuth_Pancreas,schwann,glial cell,GPT-4,1,glial cell
Azimuth,Pancreas,Azimuth_Pancreas,schwann,glial cell,GPT-4-mar2023,0,progenitor cell
Azimuth,Pancreas,Azimuth_Pancreas,schwann,glial cell,GPT-3.5,1,glial cell
Azimuth,Pancreas,Azimuth_Pancreas,schwann,glial cell,CellMarker2.0,1,glial cell
Azimuth,Pancreas,Azimuth_Pancreas,activated stellate,fibroblast,GPT-4,0.5,fibroblast
Azimuth,Pancreas,Azimuth_Pancreas,activated stellate,fibroblast,GPT-4-mar2023,0.5,"fibroblast,stromal cell"
Azimuth,Pancreas,Azimuth_Pancreas,activated stellate,fibroblast,GPT-3.5,0.5,fibroblast
Azimuth,Pancreas,Azimuth_Pancreas,activated stellate,fibroblast,CellMarker2.0,0.5,fibroblast
Azimuth,Pancreas,Azimuth_Pancreas,epsilon islet cell,secretory cell,GPT-4,0,epithelial cell
Azimuth,Pancreas,Azimuth_Pancreas,epsilon islet cell,secretory cell,GPT-4-mar2023,0,"epithelial cell,NA"
Azimuth,Pancreas,Azimuth_Pancreas,epsilon islet cell,secretory cell,GPT-3.5,0,epithelial cell
Azimuth,Pancreas,Azimuth_Pancreas,epsilon islet cell,secretory cell,CellMarker2.0,0,
Azimuth,Pancreas,Azimuth_Pancreas,gamma islet cell,epithelial cell,GPT-4,0,neuron
Azimuth,Pancreas,Azimuth_Pancreas,gamma islet cell,epithelial cell,GPT-4-mar2023,1,epithelial cell
